Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,ApplicantIncome_Z_score,CoapplicantIncome_Z_score,LoanAmount_Z_score
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,-0.13430245319192854,-0.03869999526291909,-0.21512720617749773
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,-0.3934265653904136,-0.5540356092387769,-0.9395335342085874
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,-0.4616860440933626,0.2517743229595472,-0.30859899043957384
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,0.09764882096173749,-0.5540356092387769,-0.0632355567516241
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,0.002216504213969467,0.8798823193041272,1.4089450453760743
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,-0.5026089929560419,-0.035966119326707645,-0.6006983162585616
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,-0.38753366075418777,0.30166755879540613,0.13539198480528758
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,-0.22875261916699227,-0.03254877440644333,0.2522317151328827
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,1.2174643936400926,3.1941082993071177,2.367030834062354
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,-0.3606882063002702,-0.3148214648202753,-0.8927976420775493
LP001027,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y,-0.4752724631157721,0.07475585608985598,-0.43712269379992846
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,-0.3814770643225113,2.216064183127472,0.626118852181187
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,-0.581181054772386,0.41649034811628693,-0.37870282863613086
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,-0.6718663094520833,-0.18291195089807294,-1.5120482128138033
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,-0.07422756426151539,-0.5540356092387769,-0.2501791252757763
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,,Urban,Y,-0.29586625530178623,-0.5540356092387769,-0.542278451094764
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,-0.3099437497105479,-0.5540356092387769,-0.8226938038809923
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,-0.08454014737491056,-0.5540356092387769,-0.15670734101370018
LP001041,Male,Yes,0,Graduate,,2600,3500.0,115.0,,1.0,Urban,Y,-0.4589032835707004,0.6420351128537314,-0.3670188556033714
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,0.36937720140992775,-0.5540356092387769,-0.495542558963726
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,0.09028269016645522,1.368220908409897,1.9697757509485307
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,-0.4589032835707004,0.09901900502373258,-0.35533488257061185
LP001050,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,-0.33367906005090187,0.10106941197589116,-0.4020707747016499
LP001052,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,N,-0.27605954805224947,0.44553777993853355,0.053604173575971005
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,0.6803916127662901,-0.5540356092387769,0.5209630948863514
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,-0.4263286162760077,0.21589220129677195,-0.2852310443740548
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,-0.19274042416783452,-0.19863173753128877,-0.42543872076716893
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,-0.6484583827026307,-0.5540356092387769,-1.3017366982241323
LP001087,Female,No,2,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,-0.2706577188023758,0.15779733765227869,-0.30859899043957384
LP001091,Male,Yes,1,Graduate,,4166,3369.0,201.0,360.0,,Urban,N,-0.20256193189487753,0.5972678943982689,0.6378028252139465
LP001095,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,-0.36609003555014386,-0.5540356092387769,-0.8460617499465113
LP001097,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,-0.11646004748780038,-0.5540356092387769,-0.47217461289820695
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,-0.3115806676650551,0.015635788969283426,-0.37870282863613086
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,1.1616454913913983,0.47116786684051587,2.0281956161123285
LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100.0,,0.0,Urban,N,-0.585273349658654,-0.0995287348436238,-0.542278451094764
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,-0.28424413782478536,-0.055444985372214206,-0.028183637653345566
LP001114,Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,-0.20256193189487753,1.9098700782717901,0.43917528365703484
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,-0.2709851023932773,0.01597752346130986,-0.42543872076716893
LP001119,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,-0.2952114881199834,-0.5540356092387769,-0.7759579117499542
LP001120,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,-0.589856719931274,-0.13951167041071622,-1.1615290218310181
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,,Urban,Y,-0.4916416426608438,-0.5540356092387769,-0.8343777769137518
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,-0.23939258587128887,0.24425616413496573,-0.14502336798094068
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,,1.0,Urban,Y,-0.11596897210144823,-0.5540356092387769,-0.589014343225802
LP001137,Female,No,0,Graduate,No,3410,0.0,88.0,,1.0,Urban,Y,-0.3263129292556196,-0.5540356092387769,-0.6824861274878782
LP001138,Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,0.04019300075853582,-0.5540356092387769,-1.1965809409292967
LP001144,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,0.06834798957605914,-0.5540356092387769,-0.028183637653345566
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N,-0.4515371527754181,0.6215310433321455,-0.30859899043957384
LP001151,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,-0.22973476993969655,0.22341036012135343,-0.028183637653345566
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y,-0.5689041701135823,0.007775895652675515,-0.542278451094764
LP001157,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y,-0.37934907098165194,-0.5540356092387769,-0.30859899043957384
LP001164,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,-0.19208565698603164,-0.5540356092387769,-0.4020707747016499
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,-0.12890062394205487,-0.5540356092387769,-0.14502336798094068
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,0.9979536959406812,-0.5540356092387769,1.630940532998505
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,-0.44122456966202295,-0.15523145704393204,-0.5773303701930426
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y,-0.535511043841636,-0.010336032424725325,-0.589014343225802
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N,-0.33351536825545114,0.1977802732193711,-0.13333939494818117
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y,0.4381277554992289,0.21486699782069266,0.39243939152599683
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y,-0.3349885944145076,0.42298330346478913,-0.028183637653345566
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,-0.4752724631157721,0.7431885224935548,-0.30859899043957384
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y,-0.3886795033223428,-0.5540356092387769,-0.5539624241275235
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N,-0.45743005741164394,0.6246066537603834,0.21717979603460416
LP001222,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,-0.20256193189487753,-0.5540356092387769,-0.35533488257061185
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N,0.05279726900824103,1.016234381622673,1.3037892880812387
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N,-0.3606882063002702,0.21623393578879838,-0.23849515224301676
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y,0.8751848493526434,-0.5540356092387769,1.9347238318502522
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y,0.2777097959575262,-0.5540356092387769,-0.2501791252757763
LP001241,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N,-0.18062723130448147,-0.5540356092387769,-0.12165542191542165
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y,-0.35937867193666445,0.4937223433142603,0.29896760726392074
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y,-0.5775798352724703,0.08671656331078106,-0.5773303701930426
LP001248,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y,-0.3115806676650551,-0.5540356092387769,-0.7642739387171947
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,,0.0,Semiurban,N,-0.10614746437440521,-0.5540356092387769,-0.6006983162585616
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y,-0.022500956899088806,0.052201379616111536,0.4742272027553134
LP001255,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,N,-0.2706577188023758,-0.5540356092387769,-0.3903868016688904
LP001256,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N,-0.2706577188023758,1.06920322788677,0.34570349939495876
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N,-0.7208101562918476,0.4786860256650973,-0.42543872076716893
LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N,-0.36609003555014386,0.8129023588669467,0.39243939152599683
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,,Semiurban,Y,-0.33891719750532484,0.18616130049047247,-0.19175926011197872
LP001265,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,Y,-0.254943306439107,-0.5540356092387769,-0.4137547477344094
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N,-0.6589346576114766,0.08876697026293964,0.24054774210012317
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,,Semiurban,N,0.09764882096173749,0.21486699782069266,1.3855770993105552
LP001275,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y,-0.23169907148510516,-0.5540356092387769,-1.1264771027327396
LP001279,Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y,-0.4972071637061682,0.31089439008011976,-0.12165542191542165
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,,Semiurban,Y,-0.33891719750532484,0.12943337481408493,-0.5539624241275235
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y,-0.4752724631157721,0.16975804487320378,-0.495542558963726
LP001289,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y,0.5176819680882774,-0.5540356092387769,0.7429585825087821
LP001310,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,Y,0.0477228233492688,0.8699720190353607,0.3340195263621993
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y,-0.4003016207993437,0.4369944176378728,-0.18007528707921922
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y,0.13857176982441674,1.3781312086786635,0.4859111757880729
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y,-0.34873870523236783,0.06792116624932736,-0.7642739387171947
LP001322,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y,-0.2079637611447512,-0.5540356092387769,-0.2852310443740548
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y,-0.291937652210969,-0.5540356092387769,-1.4185764285517273
LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y,-0.47789153184298355,0.23263719140606706,-0.10997144888266214
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y,-0.5608832721364971,-0.2133263206884253,-1.1264771027327396
LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y,-0.19896071239496177,-0.5540356092387769,-0.3670188556033714
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y,-0.5965680835447534,0.656046227026815,-0.18007528707921922
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y,-0.18259153284989005,0.5610440382434672,-0.15670734101370018
LP001349,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y,-0.09174258637474211,0.7466058674138192,0.053604173575971005
LP001357,Male,,,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y,-0.2598540603026285,-0.296367802250848,0.15875993087080661
LP001367,Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,Y,-0.3849145920269763,-0.2020490824515531,-0.542278451094764
LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y,0.9843672769182716,-0.16924257121701572,0.9182181780001748
LP001370,Male,No,0,Not Graduate,,7333,0.0,120.0,360.0,1.0,Rural,N,0.3158499842975433,-0.5540356092387769,-0.30859899043957384
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N,-0.26247312902984,0.6762085620563745,0.8130624207053392
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y,-0.5454962433641297,-0.296367802250848,-0.6123822892913211
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y,-0.014316367126552952,-0.5540356092387769,-0.12165542191542165
LP001387,Female,Yes,0,Graduate,,2929,2333.0,139.0,360.0,1.0,Semiurban,Y,-0.4050486828674145,0.24323096065888644,-0.08660350281714312
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,,0.0,Rural,N,-0.29979485839260345,0.8518600909579599,0.06528814660873052
LP001398,Male,No,0,Graduate,,5050,0.0,118.0,360.0,1.0,Semiurban,Y,-0.05785838471644368,-0.5540356092387769,-0.33196693650509285
LP001401,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y,1.5026155013152416,-0.5540356092387769,0.4508592566897944
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y,-0.36609003555014386,0.2261442360575649,0.08865609267424954
LP001405,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,,Urban,Y,-0.5220883166146771,-0.0762907893858265,-0.7175380465861567
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N,0.02693396532702774,0.17795967268183813,0.3340195263621993
LP001422,Female,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,Y,0.8192022553084981,-0.5540356092387769,1.315473261113998
LP001426,Male,Yes,,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y,0.04313945307664872,0.3573702809957144,0.39243939152599683
LP001430,Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,Y,-0.20256193189487753,-0.5540356092387769,-1.1965809409292967
LP001431,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y,-0.5346925848643824,2.514740129158573,-0.10997144888266214
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y,-0.4004653125947944,-0.5540356092387769,-0.7642739387171947
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,Y,-0.18062723130448147,0.13421765770245497,0.5560150139846299
LP001443,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,,Rural,Y,-0.2801518429385174,-0.5540356092387769,-0.6240662623240806
LP001448,,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y,3.0118538553708527,-0.5540356092387769,2.612394267750304
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,N,0.8363898938308234,0.7616421850629821,0.15875993087080661
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,,Rural,N,0.11074416459779486,0.32388030077712415,0.41580733759151584
LP001469,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,,Urban,Y,2.416506795316595,-0.5540356092387769,5.883906716922967
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y,-0.5548266757048206,0.10517022588020833,-0.8460617499465113
LP001478,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y,-0.4395876517075158,-0.5540356092387769,-0.8927976420775493
LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y,-0.31829203127853445,-0.5540356092387769,-1.4185764285517273
LP001487,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y,-0.08323061301130483,-0.5540356092387769,-0.518910505029245
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N,-0.22973476993969655,2.0944067039660625,1.677676425129543
LP001489,Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,N,-0.13430245319192854,-0.5540356092387769,-0.7292220196189162
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y,-0.341699958027987,0.6420351128537314,-0.6824861274878782
LP001492,Male,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,N,1.5707112882227399,-0.5540356092387769,1.1168457195570864
LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N,-0.19699641084955316,-0.06535528564098071,-0.20344323314473822
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N,-0.05916791908004942,0.15779733765227869,0.4508592566897944
LP001498,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y,0.002216504213969467,-0.5540356092387769,0.2522317151328827
LP001504,Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,Y,0.25315602663991865,-0.5540356092387769,0.3340195263621993
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y,-0.44286148761653016,0.14105234754298357,-0.2852310443740548
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y,1.0400224873715154,-0.5540356092387769,0.4742272027553134
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,-0.503100068342394,0.9789853219917922,-0.542278451094764
LP001516,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y,1.5489402794277944,-0.5540356092387769,-0.8927976420775493
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y,-0.6327439703393619,-0.06706395810111286,-1.3601565633879298
LP001519,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N,0.7524160027646056,0.015294054477256996,0.9182181780001748
LP001520,Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,Y,-0.08895982585207991,-0.27039598085683925,-0.2501791252757763
LP001528,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,N,0.1429914483015861,-0.5540356092387769,-0.33196693650509285
LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152.0,360.0,1.0,Rural,Y,-0.4626681948660669,0.727468735860339,0.06528814660873052
LP001531,Male,No,0,Graduate,No,9166,0.0,244.0,360.0,1.0,Urban,N,0.6158970453587076,-0.5540356092387769,1.1402136656226054
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113.0,360.0,1.0,Rural,N,-0.5111209663194791,-0.5540356092387769,-0.3903868016688904
LP001535,Male,No,0,Graduate,No,3254,0.0,50.0,360.0,1.0,Urban,Y,-0.35184884934593147,-0.5540356092387769,-1.1264771027327396
